=====================================================================================
LISTA DE MEDICAMENTOS CONTROLADOS - ORDEM ALFABÉTICA (sem considerar acentos)
Fonte: RDC 999/2025 e IN 360/2025
=====================================================================================

Total de medicamentos: 610

284. Hidromorfona                                       | A1 - Entorpecentes
285. Hidroxidiona                                       | C1 - Outras Substâncias de Controle Especial
286. Hidroxipetidina                                    | A1 - Entorpecentes
287. Homofenazina                                       | C1 - Outras Substâncias de Controle Especial
288. Imicloprazina                                      | C1 - Outras Substâncias de Controle Especial
289. imipenem                                           | Antimicrobianos
290. Imipramina                                         | C1 - Outras Substâncias de Controle Especial
291. Imipraminóxido                                     | C1 - Outras Substâncias de Controle Especial
292. Intermediário 'a' da petidina                      | A1 - Entorpecentes
293. Intermediário 'b' da petidina                      | A1 - Entorpecentes
294. Intermediário 'c' da petidina                      | A1 - Entorpecentes
295. Intermediário da metadona                          | A1 - Entorpecentes
296. Intermediário da moramida                          | A1 - Entorpecentes
297. Iproclozida                                        | C1 - Outras Substâncias de Controle Especial
298. Isocarboxazida                                     | C1 - Outras Substâncias de Controle Especial
299. Isoflurano                                         | C1 - Outras Substâncias de Controle Especial
300. Isometadona                                        | A1 - Entorpecentes
301. isoniazida                                         | Antimicrobianos
302. Isopropil-crotonil-uréia                           | C1 - Outras Substâncias de Controle Especial
303. Isotretinoína                                      | C2 - Retinóicos
304. Lacosamida                                         | C1 - Outras Substâncias de Controle Especial
305. Lamotrigina                                        | C1 - Outras Substâncias de Controle Especial
306. Lefetamina                                         | B1 - Psicotrópicos
307. Leflunomida                                        | C1 - Outras Substâncias de Controle Especial
308. Lemborexante                                       | B1 - Psicotrópicos
309. Lenalidomida                                       | C3 - Imunossupressores
310. Levanfetamina                                      | A3 - Substâncias Psicotrópicas
311. Levetiracetam                                      | C1 - Outras Substâncias de Controle Especial
312. Levofenacilmorfano                                 | A1 - Entorpecentes
313. levofloxacina                                      | Antimicrobianos
314. Levomepromazina                                    | C1 - Outras Substâncias de Controle Especial
315. Levometorfano                                      | A1 - Entorpecentes
316. Levomilnaciprana                                   | C1 - Outras Substâncias de Controle Especial
317. Levomoramida                                       | A1 - Entorpecentes
318. Levorfanol                                         | A1 - Entorpecentes
319. limeciclina                                        | Antimicrobianos
320. lincomicina                                        | Antimicrobianos
321. linezolida                                         | Antimicrobianos
322. liraglutida                                        | Agonistas GLP-1
323. Lisdexanfetamina                                   | A3 - Substâncias Psicotrópicas
324. Lisurida                                           | C1 - Outras Substâncias de Controle Especial
325. Litio                                              | C1 - Outras Substâncias de Controle Especial
326. lixisenatida                                       | Agonistas GLP-1
327. Loflazepato de etila                               | B1 - Psicotrópicos
328. lomefloxacina                                      | Antimicrobianos
329. Loperamida                                         | C1 - Outras Substâncias de Controle Especial
330. Loprazolam                                         | B1 - Psicotrópicos
331. loracarbef                                         | Antimicrobianos
332. Lorazepam                                          | B1 - Psicotrópicos
333. Lormetazepam                                       | B1 - Psicotrópicos
334. Loxapina                                           | C1 - Outras Substâncias de Controle Especial
335. Lumiracoxibe                                       | C1 - Outras Substâncias de Controle Especial
336. Lurasidona                                         | C1 - Outras Substâncias de Controle Especial
337. mandelamina                                        | Antimicrobianos
338. Maprotilina                                        | C1 - Outras Substâncias de Controle Especial
339. Mavacanteno                                        | C1 - Outras Substâncias de Controle Especial
340. Mazindol                                           | B2 - Anorexígenos
341. Meclofenoxato                                      | C1 - Outras Substâncias de Controle Especial
342. Medazepam                                          | B1 - Psicotrópicos
343. Mefenorex                                          | B2 - Anorexígenos
344. Mefenoxalona                                       | C1 - Outras Substâncias de Controle Especial
345. Mefexamida                                         | C1 - Outras Substâncias de Controle Especial
346. Memantina                                          | C1 - Outras Substâncias de Controle Especial
347. Mepazina                                           | C1 - Outras Substâncias de Controle Especial
348. Meprobamato                                        | B1 - Psicotrópicos
349. meropenem                                          | Antimicrobianos
350. Mesocarbo                                          | B1 - Psicotrópicos
351. Mesoridazina                                       | C1 - Outras Substâncias de Controle Especial
352. Mesterolona                                        | C5 - Anabolizantes
353. Metadona                                           | A1 - Entorpecentes
354. metampicilina                                      | Antimicrobianos
355. Metandienona                                       | C5 - Anabolizantes
356. Metandranona                                       | C5 - Anabolizantes
357. Metandriol                                         | C5 - Anabolizantes
358. Metazocina                                         | A1 - Entorpecentes
359. Metenolona                                         | C5 - Anabolizantes
360. Metildesorfina                                     | A1 - Entorpecentes
361. Metildiidromorfina                                 | A1 - Entorpecentes
362. Metilfenidato                                      | A3 - Substâncias Psicotrópicas
363. Metilfenobarbital (prominal)                       | B1 - Psicotrópicos
364. Metilnaltrexona                                    | C1 - Outras Substâncias de Controle Especial
365. Metilpentinol                                      | C1 - Outras Substâncias de Controle Especial
366. Metilsinefrina                                     | A3 - Substâncias Psicotrópicas
367. Metiltestosterona                                  | C5 - Anabolizantes
368. Metiprilona                                        | B1 - Psicotrópicos
369. Metisergida                                        | C1 - Outras Substâncias de Controle Especial
370. Metixeno                                           | C1 - Outras Substâncias de Controle Especial
371. Metopona                                           | A1 - Entorpecentes
372. Metopromazina                                      | C1 - Outras Substâncias de Controle Especial
373. Metoxiflurano                                      | C1 - Outras Substâncias de Controle Especial
374. metronidazol                                       | Antimicrobianos
375. Mianserina                                         | C1 - Outras Substâncias de Controle Especial
376. Mibolerona                                         | C5 - Anabolizantes
377. Midazolam                                          | B1 - Psicotrópicos
378. Milnaciprana                                       | C1 - Outras Substâncias de Controle Especial
379. Miltefosina                                        | C1 - Outras Substâncias de Controle Especial
380. Minaprina                                          | C1 - Outras Substâncias de Controle Especial
381. minociclina                                        | Antimicrobianos
382. miocamicina                                        | Antimicrobianos
383. Mirofina                                           | A1 - Entorpecentes
384. Mirtazapina                                        | C1 - Outras Substâncias de Controle Especial
385. Misoprostol                                        | C1 - Outras Substâncias de Controle Especial
386. mitomicina                                         | Antimicrobianos
387. Moclobemida                                        | C1 - Outras Substâncias de Controle Especial
388. Modafinila                                         | B1 - Psicotrópicos
389. Molnupiravir                                       | C1 - Outras Substâncias de Controle Especial
390. Moperona                                           | C1 - Outras Substâncias de Controle Especial
391. Morferidina                                        | A1 - Entorpecentes
392. Morfina                                            | A1 - Entorpecentes
393. Morinamida                                         | A1 - Entorpecentes
394. moxifloxacino                                      | Antimicrobianos
395. mupirocina                                         | Antimicrobianos
396. N-oxicodeína                                       | A1 - Entorpecentes
397. N-oximorfina                                       | A1 - Entorpecentes
398. Nalbufina                                          | A2 - Entorpecentes de Uso Especial
399. Nalorfina                                          | A2 - Entorpecentes de Uso Especial
400. Naloxona                                           | C1 - Outras Substâncias de Controle Especial
401. Naltrexona                                         | C1 - Outras Substâncias de Controle Especial
402. Nandrolona                                         | C5 - Anabolizantes
403. Nefazodona                                         | C1 - Outras Substâncias de Controle Especial
404. neomicina                                          | Antimicrobianos
405. netilmicina                                        | Antimicrobianos
406. Nialamida                                          | C1 - Outras Substâncias de Controle Especial
407. Nicocodina                                         | A2 - Entorpecentes de Uso Especial
408. Nicodicodina                                       | A2 - Entorpecentes de Uso Especial
409. Nicomorfina                                        | A1 - Entorpecentes
